epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0655,0.85966,1.27821,0.65344,0.94501,0,0.7942,0.73794,0.82892,0.61567,0.78332,0.70764,0.78995,0.47166,0.87655,1.8377,0.76447,0.98446,0,3.31224e-05,3.31224e-05,0.0669108
2,100.251,0.79759,1.189,0.60249,0.92645,0,0.84403,0.78033,0.8662,0.66559,0.83619,0.77864,0.85627,0.56951,0.79482,1.14908,0.6354,0.94536,0,6.60171e-05,6.60171e-05,0.0336103
3,148.633,0.78189,1.16462,0.58147,0.92386,0,0.8367,0.81187,0.8826,0.68807,0.83574,0.79849,0.86547,0.57796,0.76378,1.10916,0.60067,0.93343,0,9.84718e-05,9.84718e-05,0.000309442
4,197.612,0.78298,1.16362,0.57827,0.92212,0,0.84423,0.80509,0.88392,0.68987,0.84442,0.7964,0.86829,0.58308,0.75886,1.10662,0.60068,0.93286,0,9.802e-05,9.802e-05,9.802e-05
5,245.878,0.77118,1.14864,0.57257,0.91912,0,0.84246,0.80326,0.88205,0.68924,0.84785,0.79275,0.86739,0.58486,0.75665,1.09753,0.59864,0.93236,0,9.736e-05,9.736e-05,9.736e-05
6,293.978,0.76671,1.14836,0.5644,0.91926,0,0.84871,0.80394,0.88388,0.69198,0.8477,0.78876,0.86577,0.58132,0.7556,1.09372,0.59803,0.93046,0,9.67e-05,9.67e-05,9.67e-05
7,342.527,0.76524,1.13704,0.56284,0.92081,0,0.85128,0.80244,0.88448,0.69036,0.849,0.79419,0.86979,0.58761,0.75876,1.09004,0.59649,0.93148,0,9.604e-05,9.604e-05,9.604e-05
8,390.979,0.75975,1.12957,0.55619,0.9166,0,0.82217,0.80618,0.87928,0.67879,0.82877,0.79333,0.86672,0.57942,0.78164,1.11293,0.61455,0.93555,0,9.538e-05,9.538e-05,9.538e-05
9,439.174,0.76755,1.14024,0.56386,0.91891,0,0.84224,0.79696,0.88189,0.68476,0.83988,0.78531,0.8664,0.57776,0.77511,1.1145,0.60521,0.93331,0,9.472e-05,9.472e-05,9.472e-05
10,487.456,0.76746,1.13489,0.56879,0.91616,0,0.85075,0.80398,0.8874,0.69556,0.84488,0.79255,0.86954,0.5882,0.74673,1.08154,0.59118,0.92751,0,9.406e-05,9.406e-05,9.406e-05
11,539.144,0.76264,1.13539,0.56909,0.91955,0,0.8463,0.81328,0.88865,0.69632,0.8533,0.79824,0.87351,0.59141,0.74316,1.0821,0.59093,0.92577,0,9.34e-05,9.34e-05,9.34e-05
12,587.911,0.7585,1.15387,0.56178,0.91819,0,0.84817,0.79385,0.87849,0.68308,0.84487,0.78926,0.86585,0.58464,0.76888,1.09602,0.60759,0.93422,0,9.274e-05,9.274e-05,9.274e-05
13,636.505,0.76521,1.13914,0.56537,0.9167,0,0.85174,0.81755,0.8883,0.69679,0.84961,0.79403,0.86708,0.58297,0.74305,1.08044,0.58737,0.92356,0,9.208e-05,9.208e-05,9.208e-05
14,684.791,0.76187,1.13307,0.55752,0.91624,0,0.83407,0.81795,0.88576,0.69022,0.84282,0.7966,0.86998,0.58502,0.7559,1.08758,0.59673,0.92535,0,9.142e-05,9.142e-05,9.142e-05
15,734.982,0.75716,1.12918,0.56162,0.91675,0,0.85826,0.79795,0.88577,0.69499,0.85849,0.78772,0.86881,0.58714,0.75113,1.07841,0.59274,0.92644,0,9.076e-05,9.076e-05,9.076e-05
